"","ID","N","distribution","mean","sd","df"
"1",1,20,"Normal",0,1.73205080756888,NA
"2",2,20,"Normal",0,1.73205080756888,NA
"3",3,20,"Normal",0,1.73205080756888,NA
"4",4,20,"Normal",0,1.73205080756888,NA
"5",5,20,"T",0,1.73205080756888,3
"6",6,20,"Exponential",1.73205080756888,1.73205080756888,NA
"7",7,20,"Log-Normal",4.48168907033806,1.73205080756888,NA
"8",8,20,"Chi-Squared",3,2.44948974278318,3
"9",9,20,"Normal",0,1.4142135623731,NA
"10",10,20,"Normal",0,1.4142135623731,NA
"11",11,20,"Normal",0,1.4142135623731,NA
"12",12,20,"Normal",0,1.4142135623731,NA
"13",13,20,"T",0,1.4142135623731,4
"14",14,20,"Exponential",1.4142135623731,1.4142135623731,NA
"15",15,20,"Log-Normal",2.71828182845905,1.4142135623731,NA
"16",16,20,"Chi-Squared",4,2.82842712474619,4
"17",17,20,"Normal",0,1.29099444873581,NA
"18",18,20,"Normal",0,1.29099444873581,NA
"19",19,20,"Normal",0,1.29099444873581,NA
"20",20,20,"Normal",0,1.29099444873581,NA
"21",21,20,"T",0,1.29099444873581,5
"22",22,20,"Exponential",1.29099444873581,1.29099444873581,NA
"23",23,20,"Log-Normal",2.30097589089283,1.29099444873581,NA
"24",24,20,"Chi-Squared",5,3.16227766016838,5
"25",25,20,"Normal",0,1.22474487139159,NA
"26",26,20,"Normal",0,1.22474487139159,NA
"27",27,20,"Normal",0,1.22474487139159,NA
"28",28,20,"Normal",0,1.22474487139159,NA
"29",29,20,"T",0,1.22474487139159,6
"30",30,20,"Exponential",1.22474487139159,1.22474487139159,NA
"31",31,20,"Log-Normal",2.11700001661267,1.22474487139159,NA
"32",32,20,"Chi-Squared",6,3.46410161513775,6
"33",33,20,"Normal",0,1.18321595661992,NA
"34",34,20,"Normal",0,1.18321595661992,NA
"35",35,20,"Normal",0,1.18321595661992,NA
"36",36,20,"Normal",0,1.18321595661992,NA
"37",37,20,"T",0,1.18321595661992,7
"38",38,20,"Exponential",1.18321595661992,1.18321595661992,NA
"39",39,20,"Log-Normal",2.01375270747048,1.18321595661992,NA
"40",40,20,"Chi-Squared",7,3.74165738677394,7
"41",41,30,"Normal",0,1.73205080756888,NA
"42",42,30,"Normal",0,1.73205080756888,NA
"43",43,30,"Normal",0,1.73205080756888,NA
"44",44,30,"Normal",0,1.73205080756888,NA
"45",45,30,"T",0,1.73205080756888,3
"46",46,30,"Exponential",1.73205080756888,1.73205080756888,NA
"47",47,30,"Log-Normal",4.48168907033806,1.73205080756888,NA
"48",48,30,"Chi-Squared",3,2.44948974278318,3
"49",49,30,"Normal",0,1.4142135623731,NA
"50",50,30,"Normal",0,1.4142135623731,NA
"51",51,30,"Normal",0,1.4142135623731,NA
"52",52,30,"Normal",0,1.4142135623731,NA
"53",53,30,"T",0,1.4142135623731,4
"54",54,30,"Exponential",1.4142135623731,1.4142135623731,NA
"55",55,30,"Log-Normal",2.71828182845905,1.4142135623731,NA
"56",56,30,"Chi-Squared",4,2.82842712474619,4
"57",57,30,"Normal",0,1.29099444873581,NA
"58",58,30,"Normal",0,1.29099444873581,NA
"59",59,30,"Normal",0,1.29099444873581,NA
"60",60,30,"Normal",0,1.29099444873581,NA
"61",61,30,"T",0,1.29099444873581,5
"62",62,30,"Exponential",1.29099444873581,1.29099444873581,NA
"63",63,30,"Log-Normal",2.30097589089283,1.29099444873581,NA
"64",64,30,"Chi-Squared",5,3.16227766016838,5
"65",65,30,"Normal",0,1.22474487139159,NA
"66",66,30,"Normal",0,1.22474487139159,NA
"67",67,30,"Normal",0,1.22474487139159,NA
"68",68,30,"Normal",0,1.22474487139159,NA
"69",69,30,"T",0,1.22474487139159,6
"70",70,30,"Exponential",1.22474487139159,1.22474487139159,NA
"71",71,30,"Log-Normal",2.11700001661267,1.22474487139159,NA
"72",72,30,"Chi-Squared",6,3.46410161513775,6
"73",73,30,"Normal",0,1.18321595661992,NA
"74",74,30,"Normal",0,1.18321595661992,NA
"75",75,30,"Normal",0,1.18321595661992,NA
"76",76,30,"Normal",0,1.18321595661992,NA
"77",77,30,"T",0,1.18321595661992,7
"78",78,30,"Exponential",1.18321595661992,1.18321595661992,NA
"79",79,30,"Log-Normal",2.01375270747048,1.18321595661992,NA
"80",80,30,"Chi-Squared",7,3.74165738677394,7
"81",81,40,"Normal",0,1.73205080756888,NA
"82",82,40,"Normal",0,1.73205080756888,NA
"83",83,40,"Normal",0,1.73205080756888,NA
"84",84,40,"Normal",0,1.73205080756888,NA
"85",85,40,"T",0,1.73205080756888,3
