"","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","winner16"
"1",3360,3141,7,3141,2.8,10.1,6.6,30.9,22.8,12,20.5,40.7,0.6,3.4,13.2,11.5,77.4,56.6,63.7,78.5,12,99,4.8,747,54.7,15.7,118500,435,2.46,26535,61250,16.7,59,0,0,241,188,0,71.8,0,0,0,0,0,0,9326,3309,0,0,6981.94,0.4,"Rep"
"2",957,997,-4,997,5.2,20.1,9.7,44.3,46.1,0,35.2,1,0.3,17.3,4.3,44.1,83.4,0.6,5.2,91.7,19.4,91,10.2,965,57.3,12.7,175000,384,2.42,37024,79531,7.9,66,299,-7.4,220,250,0,0,0,0,0,0,0,0,12785,12823,13278,2,503.84,2,"Rep"
"3",4988,4847,2.9,4847,11,31.9,7.9,48.6,18.7,0.7,70.4,0.9,0.2,9.1,3.1,17.6,84.2,1.5,39.9,83.7,17.8,214,8.7,2422,57.8,15.2,194000,1339,3.59,21498,54150,18.1,92,1264,-1.2,790,789,0,58.3,0,0,0,9.1,0,0,42742,8612,7197,4,18568.78,0.3,"Rep"
"4",99357,97581,1.8,97581,7.7,24.1,8,45.9,77.3,5.4,7.3,3.1,0.5,6.3,7.7,71.3,73.8,5.7,10.3,93.1,29,11048,19.2,41684,59.2,24.9,212500,35588,2.67,32143,69223,8.4,2471,27466,2.2,5249,6481,2,3.8,3.4,0,2.3,32.5,0,0,1574267,16072,221600,54,7338.21,13.3,"Rep"
"5",2566,2508,2.3,2508,3.7,19.1,16.8,51,79.1,0.7,10.4,1.1,0,8.8,2.5,77.5,78.8,5,7.9,96.4,30.1,282,11.7,1639,64.2,15,171900,1245,2.01,31096,52866,7.8,134,635,-0.5,395,489,0,0,0,0,0,37.2,0,0,16185,6991,6351,6,2318.6,1.1,"Rep"
"6",2082,2149,-3.1,2150,5.2,19.4,16.5,46.5,48.8,0.6,39.5,0.7,0.1,10.3,5.1,47.2,85.9,3,13.7,88.4,26.9,172,9.7,1755,63.4,7.3,200500,930,2.23,28806,49545,14.9,71,216,-6.9,287,718,0,0,0,0,0,20.8,0,0,52012,23610,20660,8,7524.92,0.3,"Rep"
"7",32406,31275,3.6,31275,5.9,22.1,10.6,48.8,69.9,1.6,11.9,6.2,1.1,9.3,6.5,65.5,81,6.5,9.9,95.5,36.7,2739,15.1,13207,64.5,32.2,309900,12099,2.58,37558,81490,6.2,1135,10932,-1,2572,3500,1,5.2,3.6,0,0,26.5,0,0,465334,15235,86874,204,2701.93,11.6,"Rep"
"8",13787,13477,2.3,13477,6.5,22.8,12.5,47.9,68.4,0.9,13.8,7.5,0.2,9.1,4.9,65.2,78.3,7.3,9.8,93.5,25.4,1421,13.7,6239,58.5,39.4,265600,5295,2.5,31589,62519,10.2,583,4722,4.5,1317,1472,0,2.4,3,0,0,16.4,0,0,268880,20488,45557,37,4858.41,2.8,"Rep"
"9",1631,1635,-0.2,1631,9.3,28.1,9,47.1,25.1,1,63.4,0.3,0.3,9.9,3.2,23.6,88,1.7,15.8,86.8,15.4,79,6.4,1501,64.4,2.9,136400,508,2.83,21616,51786,21.1,51,135,7.1,298,371,0,0,0,0,0,0,0,0,0,0,0,0,23652.01,0.1,"Rep"
"10",9817,9492,3.4,9492,11.1,34.9,7.3,47.6,17.3,0.7,74.5,1.2,0.1,6.3,2,16.5,83.5,1.4,28.7,84.1,17.1,600,6.7,4045,55.1,18.1,142800,2797,3.37,20271,49974,27.7,167,1910,-1.5,572,629,0,45.2,0,0,0,0,0,0,63167,6785,10198,10,22961.76,0.4,"Rep"
"11",6396,6172,3.6,5559,6.5,24.1,11.4,45.3,47.2,0.4,42.4,0.7,0.4,9,3.3,45.5,82.2,1.4,4.8,91,15.7,492,14.6,3319,70.7,10.5,162500,2240,2.49,24581,46071,15.1,134,894,-7.8,540,905,0,15.8,0,0,0,9.1,0,0,41561,7514,10917,4,3922.87,1.4,"Rep"
"12",8900,8881,0.2,8881,6.1,22.2,13.2,48.7,67,1.1,15.9,6.6,0.3,9.1,6,63.6,84,7.7,13.3,91.2,34.1,757,12.3,4122,56.2,27.2,323200,3554,2.42,32521,69405,10,382,2867,-0.1,1275,1938,0,12.8,0,0,0,16.3,0,0,94916,10875,27072,17,2870.34,3.1,"Rep"
"13",1036,968,7,968,5.2,13.1,10.6,47.6,89.9,0.3,5,0.7,0.2,4,4.3,86.2,83,8.9,12.2,95.2,24.3,47,4.4,662,59.2,27.6,305600,412,2.23,37139,71667,5.5,109,337,10.5,127,0,0,0,0,0,0,0,0,0,0,0,0,2,452.33,2.1,"Rep"
"14",8010,7459,7.4,7459,13.7,42,5.2,47.5,5.2,0.2,91.7,0.3,0,2.6,1.1,4.9,89.5,0.6,50,76.6,5.4,351,6,2183,71.1,3.4,109300,1744,4.39,11210,40176,31.4,71,575,-18.3,474,0,0,0,0,0,0,0,0,0,39514,5211,0,0,17081.43,0.4,"Rep"
"15",2364,2365,0,2369,4.8,20.3,17.9,48.2,70.6,0.4,16.9,1.9,0,10.3,2.2,69.2,86.4,2.8,6,89,16.7,364,9.5,1422,71.4,17.2,157400,1149,2.01,28474,45841,9.5,86,524,-3.9,356,0,0,0,0,0,0,0,0,0,0,0,0,6,2541.48,0.9,"Rep"
"16",635,662,-4.1,662,5.7,19.2,12.8,44.6,39.8,2.5,36.1,4.6,1.7,15.3,3.3,37.2,81.8,5.9,19.6,93.2,22.7,58,5.4,450,49.6,13.8,147500,254,2.15,34317,72500,5.9,30,147,-2.6,110,158,0,0,0,0,0,25.3,0,9957,0,0,3757,3,7649.46,0.1,"Rep"
"17",5547,5588,-0.7,5588,8.3,27.8,13.3,46.3,23.2,0.6,70.7,0.3,0.1,5,2,22,85.9,1.1,17.3,80.3,9.3,419,8.3,4024,70.4,2.1,106500,2056,2.72,19729,34710,24.2,99,434,-4.8,337,426,0,56.6,0,0,0,33.8,0,0,41553,7151,5429,0,145504.79,0,"Rep"
"18",55395,54571,1.5,54571,6,25.2,13.8,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6,85,1.6,3.5,85.6,20.9,5922,26.2,22751,76.8,8.3,136200,20071,2.71,24571,53682,12.1,817,10120,2.1,2947,4067,15.2,0,1.3,0,0.7,31.7,0,0,598175,12003,88157,131,594.44,91.8,"Rep"
"19",200111,182265,9.8,182265,5.6,22.2,18.7,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83,82.1,3.6,5.5,89.1,27.7,19346,25.9,107374,72.6,24.4,168600,73283,2.52,26766,50221,13.9,4871,54988,3.7,16508,19035,2.7,0.4,1,0,1.3,27.3,1410273,0,2966489,17166,436955,1384,1589.78,114.6,"Rep"
"20",22506,22919,-1.8,22915,5.3,21,14.8,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,86.6,1.2,2.1,77.5,12.1,1327,27.6,8978,79,7.3,90500,7091,3.03,17427,36447,18.1,275,3145,7.5,1126,1385,14.9,0,0,0,0,0,0,0,124707,5804,10757,19,622.58,36.8,"Rep"
