Question.1,Question.2,Question.3,Anchor,Question.4,Question.5,Wording,Question.6,Question.7,Question.8,Question.9,Question.10,Question.11,Question.12,Question.13,Question.14,Question.15,Question.16,Question.17,Question.18
Nobel Prize,cat person,higher,10Percent,Worse than average,no,Unbiased,15,50,not religious,sometimes comfortable,2,2,2e3,12,0,2.8,non-science,no,male
Nobel Prize,dog person,lower,10Percent,Average,no,Unbiased,NA,30,not religious,almost always comfortable,6,2,250,5,3,3.8,non-science,no,female
Nobel Prize,dog person,lower,10Percent,Better than average,no,Unbiased,7,30,religious but not actively practicing,sometimes comfortable,6,1,350,10,3,3.78,science,yes,male
Nobel Prize,neither,higher,10Percent,Better than average,yes,Unbiased,12,45,not religious,almost always comfortable,14,3,350,0,8,3.98,non-science,no,female
Olympic Gold,cat person,lower,10Percent,Better than average,yes,Unbiased,8,20,not religious,almost always comfortable,2,1,900,25,10,3,non-science,no,male
Olympic Gold,dog person,lower,10Percent,Better than average,no,Unbiased,6,45,religious but not actively practicing,sometimes comfortable,4,1,400,3,2,3.41,non-science,no,male
Nobel Prize,neither,higher,10Percent,Average,yes,Unbiased,13,50,not religious,sometimes comfortable,6,1,632,5,2,3.75,non-science,no,male
Olympic Gold,cat person,lower,10Percent,Average,yes,Unbiased,7,35,not religious,almost always comfortable,4,1,461,12,10,345,non-science,no,male
Nobel Prize,dog person,lower,10Percent,Better than average,no,Unbiased,6,45,not religious,sometimes comfortable,15,1,250,13,2,3.6,science,no,female
Nobel Prize,neither,higher,10Percent,Average,yes,Unbiased,15,70,not religious,sometimes comfortable,6,1,0,5,0,3.01,non-science,no,male
Nobel Prize,dog person,lower,10Percent,Average,no,Unbiased,6,15,religious but not actively practicing,almost always comfortable,30,0,1152,4,8,3.6,non-science,no,female
Nobel Prize,dog person,higher,10Percent,Better than average,no,Unbiased,25,45,religious but not actively practicing,almost always comfortable,12,3,350,2,6,3.78,science,no,female
Nobel Prize,dog person,lower,10Percent,Better than average,no,Unbiased,7,50,not religious,almost always comfortable,18,1,550,12,0,3.7,non-science,no,female
Olympic Gold,dog person,lower,10Percent,Average,no,Unbiased,8,30,religious and actively practicing my religion,sometimes comfortable,7,1,311,8,2,3.57,science,yes,male
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,17,35,religious but not actively practicing,sometimes comfortable,10,2,700,4,0,3.85,non-science,no,male
Nobel Prize,dog person,lower,10Percent,Better than average,no,Unbiased,7,40,religious and actively practicing my religion,sometimes comfortable,30,7,1100,14,4,3.4,science,no,female
