StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,A-1-Q1,A-1-Q2,A-1-Q3,A-1-Q4,A-1-Q5,A-1-Q6,B-1-Q1,B-1-Q2,B-1-Q3,B-1-Q4,B-1-Q5,B-1-Q6,A-N-Q1,A-N-Q2,A-N-Q3,B-N-Q1,B-N-Q2,B-N-Q3,Q69,Q70
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Practice Question:

 
Select the ID number of the most different plot.",Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,"[Insert Image]
Please select the ID number for the most different plot.",Please select the ID number for the most different plot.,Please select the ID number for the most different plot.,Select the ID number for all plots that you believe are different.,Select the ID number for all plots that you believe are different.,Select the ID number for all plots that you believe are different.,Select the ID number for all plots that you believe are different.,Select the ID number for all plots that you believe are different.,Select the ID number for all plots that you believe are different.,Have you taken a Statistics class in the past?,What is the most recent statistics course you have taken?
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID24""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID13""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID31""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96_TEXT""}"
2018-04-19 11:52:53,2018-04-19 12:00:10,0,137.22.5.52,100,437,1,2018-04-19 12:00:11,R_2dWmAJr1kasQYKp,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,8,,,,,,,,,,"3,12","7,8,15",2,4,MATH345
2018-04-19 11:46:25,2018-04-19 12:00:41,0,137.22.5.54,100,856,1,2018-04-19 12:00:42,R_10GkHty0GoG7kw9,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,11,19,15,14,9,16,,,,,,,"14,17","5,7",6,,,,4,Data Science
2018-04-19 11:48:47,2018-04-19 12:02:08,0,137.22.5.50,100,800,1,2018-04-19 12:02:08,R_2fd6fBTrHdt0avN,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,3,7,2,4,280 (Stats Consulting)
2018-04-19 11:52:01,2018-04-19 12:03:02,0,137.22.5.49,100,661,1,2018-04-19 12:03:03,R_2SpnhC9N8G0pVwD,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,8,,,,,,,14,"5,7,10,15",6,,,,5,
2018-04-19 11:45:46,2018-04-19 12:07:04,0,137.22.5.48,100,1277,1,2018-04-19 12:07:04,R_1FA6ATUzAeVuTSk,,,,,44.461395263672,-93.200698852539,anonymous,EN,12,,,,,,,20,1,9,8,17,8,14,"5,7,10,15","6,10,12",,,,4,215
2018-04-19 12:03:32,2018-04-19 12:09:49,0,137.22.5.49,100,377,1,2018-04-19 12:09:49,R_1IHhuUDbW0t0d79,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,2,14,9,9,,,,,,,,,,3,7,"8,18",5,
2018-04-19 12:03:04,2018-04-19 12:10:24,0,137.22.5.50,100,439,1,2018-04-19 12:10:24,R_2axd5CpjQg4712X,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,14,14,1,17,8,14,"5,7,10,14",6,,,,4,"265, Probability"
2018-04-19 11:49:43,2018-04-19 12:12:53,0,137.22.5.62,100,1389,1,2018-04-19 12:12:53,R_3MhuP95OM6UDMIW,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,"3,12","7,8,15","2,6",4,Stochastic Processes
2018-04-19 12:00:36,2018-04-19 12:13:10,0,137.22.5.52,100,754,1,2018-04-19 12:13:11,R_28ZJDWQzG0L00TP,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,8,,,,,,,"14,15,19,20","5,7,10,15","6,10",,,,5,
2018-04-19 12:07:51,2018-04-19 12:24:01,0,137.22.5.48,100,969,1,2018-04-19 12:24:02,R_57k2ASQY2XZEh5T,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,9,,,,,,,,,,3,"7,8",2,4,Math 215
2018-04-19 12:10:09,2018-04-19 12:26:58,0,137.22.5.49,100,1008,1,2018-04-19 12:27:11,R_1fiQTCDi7mBU01H,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,13,19,10,17,8,14,"5,10,15","6,10",,,,4,Stats 215
2018-04-19 12:13:17,2018-04-19 12:28:25,0,137.22.5.62,100,908,1,2018-04-19 12:28:25,R_2XnzKLGPvvcBnFG,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,11,12,2,14,9,4,,,,,,,,,,"4,5,12","4,5,7,18",2,5,
2018-04-19 12:25:32,2018-04-19 12:37:07,0,137.22.5.48,100,694,1,2018-04-19 12:37:07,R_1dhiVy4IMunoVqj,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,"3,12","7,8,15","2,6",4,275
2018-04-19 12:38:22,2018-04-19 12:42:48,0,137.22.5.48,100,266,1,2018-04-19 12:42:48,R_1jH6X0poh75fKFY,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,16,,,,,,,"14,17","5,7,10,15","6,10",,,,4,Advanced Modeling
2018-04-19 12:27:19,2018-04-19 12:57:36,0,137.22.5.49,100,1816,1,2018-04-19 12:57:42,R_1oGY43PubWDEWtO,,,,,44.461395263672,-93.200698852539,anonymous,EN,15,,,,,,,20,15,3,8,17,5,,,,"3,12","7,8,15","1,2,6,9",4,STAT 215
2018-04-19 12:45:26,2018-04-19 13:05:43,0,137.22.5.48,100,1217,1,2018-04-19 13:05:44,R_C203sDPYWcKDfXP,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,1,17,8,"14,15,17","5,7,10,15",6,,,,4,215
2018-04-19 12:10:40,2018-04-19 13:11:17,0,137.22.5.50,100,3637,1,2018-04-19 13:11:24,R_D0RiNLdhKmIIg6d,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,16,,,,,,,,,,"3,12","7,8,15","2,6",5,
2018-04-19 13:06:24,2018-04-19 13:16:38,0,137.22.5.48,100,613,1,2018-04-19 13:16:38,R_1CejMZU8KW4oZKp,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,"14,17","5,7,10,15","6,14",,,,4,Math 280
2018-04-19 13:11:56,2018-04-19 13:20:10,0,137.22.5.50,100,494,1,2018-04-19 13:20:10,R_Rw6G1fur9dbSRa1,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,20,14,9,8,,,,,,,"3,14","5,7,10","6,10,16",,,,4,265
2018-04-19 13:04:01,2018-04-19 13:21:44,0,137.22.5.49,100,1062,1,2018-04-19 13:21:45,R_5tZqam2gRrtbwLD,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,,,,,,,20,1,14,8,17,8,,,,"3,12","7,8,15",2,4,Applied Regression
2018-04-19 13:17:25,2018-04-19 13:24:06,0,137.22.5.48,100,401,1,2018-04-19 13:24:06,R_1P2gDTRyUL6suNj,,,,,44.461395263672,-93.200698852539,anonymous,EN,3,14,2,15,14,9,16,,,,,,,,,,"3,12","7,8,15","2,6",4,Math 275
