"","X","ID","scag_num_1","scag_num_2","scag_num_3","scag_num_4","scag_num_5","scag_num_6","scag_num_7","scag_num_8","scag_num_9","signal","position","lineup","condition_lineup","corr_plots"
"1",1,2019,0.22988832381948,0.561676183398491,0.00100103313647259,0.042618942983271,0.0549450549450549,0.562845951629644,0.437378608227324,0.364431486880467,0.00899796635290785,0,1,1,"A1_2","2"
"2",2,884,0.182235051522978,0.59496959123372,0.00352634294492061,0.0474650163918932,0.03,0.610583772110094,0.500047910503402,0.421875,0.3529630560837,1,2,1,"A1_2","2"
"3",3,2168,0.141744389207359,0.633056361723746,0.0013709829600851,0.048109385821939,0.0467289719626168,0.599768044571565,0.467269981410595,0.330452486729477,0.00104048183551983,0,3,1,"A1_2","2"
"4",4,2083,0.29763475587048,0.610336106910184,0.00456797957224132,0.0454514403785036,0.0659340659340659,0.543017203140517,0.498012048290714,0.276549934607786,1.86036318903086e-05,0,4,1,"A1_2","2"
"5",5,2013,0.178343246609973,0.701155198627988,0.00243894773133524,0.0516719678985427,0.0247524752475248,0.535722868653584,0.4769029866442,0.336230460439315,0.00510592790663077,0,5,1,"A1_2","2"
"6",6,2053,0.214017241989293,0.565565728934533,0.00495634320601201,0.0464691360666591,0.0833333333333333,0.488283510006527,0.502147482993985,0.360242660446063,0.000424896347386509,0,6,1,"A1_2","2"
"7",7,2234,0.210191497858662,0.625686006672777,0.00358560797100971,0.0459461412967345,0.0505050505050505,0.648633376870034,0.439784730166166,0.40565085108853,6.28905340374609e-05,0,7,1,"A1_2","2"
"8",8,2035,0.223678552730633,0.595120155281725,0.00791149646673971,0.0432994374668937,0.0414507772020725,0.654884958300147,0.453703349462523,0.397226390965192,0.00346278034620114,0,8,1,"A1_2","2"
"9",9,2227,0.188838828904657,0.531615191510628,0.00692678009010672,0.0412242687398459,0.028436018957346,0.53338945920723,0.552593511378338,0.386456822111956,0.000194603002831931,0,9,1,"A1_2","2"
"10",10,2226,0.262261919665908,0.660141779475657,0.00350373220234492,0.0472262696737026,0.0579710144927536,0.463448525316944,0.581123198825278,0.296296296296296,0.000156823396075009,0,10,1,"A1_2","2"
"11",11,2154,0.233136716256234,0.558284679978815,0.0088583980261792,0.044829734863147,0.0679611650485437,0.546508938099367,0.421755466530037,0.360242660446063,4.20903436380039e-05,0,11,1,"A1_2","2"
"12",12,2095,0.13726084580981,0.634685966285191,0.00266168398659038,0.0486331614255531,0.0518134715025907,0.582220607735293,0.442151381473677,0.374943294917115,0.0166665044617079,0,12,1,"A1_2","2"
"13",13,2238,0.146205613009693,0.61937523070825,0.00300775877005248,0.0475470648825046,0.0403587443946188,0.569683230172062,0.328229597612562,0.38130870877249,0.00231557392685344,0,13,1,"A1_2","2"
