"","ID","N","radius","startingAngle","sd1","sd2","signal"
"1",1,33,1,0,0.125,0.125,1
"2",1,33,1,0,1,1,0
"3",2,33,1,0,0.125,0.142857142857143,1
"4",2,33,1,0,1,1,0
"5",3,33,1,0,0.125,0.166666666666667,1
"6",3,33,1,0,1,1,0
"7",4,33,1,0,0.125,0.2,1
"8",4,33,1,0,1,1,0
"9",5,33,1,0,0.125,0.25,1
"10",5,33,1,0,1,1,0
"11",6,33,1,0,0.125,0.333333333333333,1
"12",6,33,1,0,1,1,0
"13",7,33,1,0,0.142857142857143,0.125,1
"14",7,33,1,0,1,1,0
"15",8,33,1,0,0.142857142857143,0.142857142857143,1
"16",8,33,1,0,1,1,0
"17",9,33,1,0,0.142857142857143,0.166666666666667,1
"18",9,33,1,0,1,1,0
"19",10,33,1,0,0.142857142857143,0.2,1
"20",10,33,1,0,1,1,0
"21",11,33,1,0,0.142857142857143,0.25,1
"22",11,33,1,0,1,1,0
"23",12,33,1,0,0.142857142857143,0.333333333333333,1
"24",12,33,1,0,1,1,0
"25",13,33,1,0,0.166666666666667,0.125,1
"26",13,33,1,0,1,1,0
"27",14,33,1,0,0.166666666666667,0.142857142857143,1
"28",14,33,1,0,1,1,0
"29",15,33,1,0,0.166666666666667,0.166666666666667,1
"30",15,33,1,0,1,1,0
"31",16,33,1,0,0.166666666666667,0.2,1
"32",16,33,1,0,1,1,0
"33",17,33,1,0,0.166666666666667,0.25,1
"34",17,33,1,0,1,1,0
"35",18,33,1,0,0.166666666666667,0.333333333333333,1
"36",18,33,1,0,1,1,0
"37",19,33,1,0,0.2,0.125,1
"38",19,33,1,0,1,1,0
"39",20,33,1,0,0.2,0.142857142857143,1
"40",20,33,1,0,1,1,0
"41",21,33,1,0,0.2,0.166666666666667,1
"42",21,33,1,0,1,1,0
"43",22,33,1,0,0.2,0.2,1
"44",22,33,1,0,1,1,0
"45",23,33,1,0,0.2,0.25,1
"46",23,33,1,0,1,1,0
"47",24,33,1,0,0.2,0.333333333333333,1
"48",24,33,1,0,1,1,0
"49",25,33,1,0,0.25,0.125,1
"50",25,33,1,0,1,1,0
"51",26,33,1,0,0.25,0.142857142857143,1
"52",26,33,1,0,1,1,0
"53",27,33,1,0,0.25,0.166666666666667,1
"54",27,33,1,0,1,1,0
