"","ID","Rate","N","SD","signal"
"1",1,0.5,100,1,1
"2",2,0.75,100,1,1
"3",3,1,100,1,1
"4",4,1.5,100,1,1
"5",5,2,100,1,1
"6",6,0.5,100,2,1
"7",7,0.75,100,2,1
"8",8,1,100,2,1
"9",9,1.5,100,2,1
"10",10,2,100,2,1
"11",11,0.5,100,3,1
"12",12,0.75,100,3,1
"13",13,1,100,3,1
"14",14,1.5,100,3,1
"15",15,2,100,3,1
"16",16,0.5,100,4,1
"17",17,0.75,100,4,1
"18",18,1,100,4,1
"19",19,1.5,100,4,1
"20",20,2,100,4,1
"21",21,0.5,100,6,1
"22",22,0.75,100,6,1
"23",23,1,100,6,1
"24",24,1.5,100,6,1
"25",25,2,100,6,1
"26",26,0.5,100,8,1
"27",27,0.75,100,8,1
"28",28,1,100,8,1
"29",29,1.5,100,8,1
"30",30,2,100,8,1
"31",31,0.5,100,12,1
"32",32,0.75,100,12,1
"33",33,1,100,12,1
"34",34,1.5,100,12,1
"35",35,2,100,12,1
"36",36,0.5,200,1,1
"37",37,0.75,200,1,1
"38",38,1,200,1,1
"39",39,1.5,200,1,1
"40",40,2,200,1,1
"41",41,0.5,200,2,1
"42",42,0.75,200,2,1
"43",43,1,200,2,1
"44",44,1.5,200,2,1
"45",45,2,200,2,1
"46",46,0.5,200,3,1
"47",47,0.75,200,3,1
"48",48,1,200,3,1
"49",49,1.5,200,3,1
"50",50,2,200,3,1
"51",51,0.5,200,4,1
"52",52,0.75,200,4,1
"53",53,1,200,4,1
"54",54,1.5,200,4,1
"55",55,2,200,4,1
"56",56,0.5,200,6,1
"57",57,0.75,200,6,1
"58",58,1,200,6,1
"59",59,1.5,200,6,1
"60",60,2,200,6,1
"61",61,0.5,200,8,1
"62",62,0.75,200,8,1
"63",63,1,200,8,1
"64",64,1.5,200,8,1
"65",65,2,200,8,1
"66",66,0.5,200,12,1
"67",67,0.75,200,12,1
"68",68,1,200,12,1
"69",69,1.5,200,12,1
"70",70,2,200,12,1
"71",71,0.5,300,1,1
"72",72,0.75,300,1,1
"73",73,1,300,1,1
"74",74,1.5,300,1,1
"75",75,2,300,1,1
"76",76,0.5,300,2,1
"77",77,0.75,300,2,1
"78",78,1,300,2,1
"79",79,1.5,300,2,1
"80",80,2,300,2,1
"81",81,0.5,300,3,1
"82",82,0.75,300,3,1
"83",83,1,300,3,1
"84",84,1.5,300,3,1
"85",85,2,300,3,1
"86",86,0.5,300,4,1
"87",87,0.75,300,4,1
"88",88,1,300,4,1
"89",89,1.5,300,4,1
"90",90,2,300,4,1
"91",91,0.5,300,6,1
"92",92,0.75,300,6,1
"93",93,1,300,6,1
"94",94,1.5,300,6,1
"95",95,2,300,6,1
"96",96,0.5,300,8,1
"97",97,0.75,300,8,1
"98",98,1,300,8,1
"99",99,1.5,300,8,1
"100",100,2,300,8,1
"101",101,0.5,300,12,1
"102",102,0.75,300,12,1
"103",103,1,300,12,1
"104",104,1.5,300,12,1
"105",105,2,300,12,1
"106",106,0.5,400,1,1
"107",107,0.75,400,1,1
"108",108,1,400,1,1
"109",109,1.5,400,1,1
"110",110,2,400,1,1
"111",111,0.5,400,2,1
"112",112,0.75,400,2,1
"113",113,1,400,2,1
"114",114,1.5,400,2,1
"115",115,2,400,2,1
"116",116,0.5,400,3,1
"117",117,0.75,400,3,1
"118",118,1,400,3,1
"119",119,1.5,400,3,1
"120",120,2,400,3,1
"121",121,0.5,400,4,1
"122",122,0.75,400,4,1
"123",123,1,400,4,1
"124",124,1.5,400,4,1
"125",125,2,400,4,1
"126",126,0.5,400,6,1
"127",127,0.75,400,6,1
"128",128,1,400,6,1
"129",129,1.5,400,6,1
"130",130,2,400,6,1
"131",131,0.5,400,8,1
"132",132,0.75,400,8,1
"133",133,1,400,8,1
"134",134,1.5,400,8,1
"135",135,2,400,8,1
"136",136,0.5,400,12,1
"137",137,0.75,400,12,1
"138",138,1,400,12,1
"139",139,1.5,400,12,1
"140",140,2,400,12,1
"141",141,0.5,500,1,1
"142",142,0.75,500,1,1
"143",143,1,500,1,1
"144",144,1.5,500,1,1
"145",145,2,500,1,1
"146",146,0.5,500,2,1
"147",147,0.75,500,2,1
"148",148,1,500,2,1
"149",149,1.5,500,2,1
"150",150,2,500,2,1
"151",151,0.5,500,3,1
"152",152,0.75,500,3,1
"153",153,1,500,3,1
"154",154,1.5,500,3,1
"155",155,2,500,3,1
"156",156,0.5,500,4,1
"157",157,0.75,500,4,1
"158",158,1,500,4,1
"159",159,1.5,500,4,1
"160",160,2,500,4,1
"161",161,0.5,500,6,1
"162",162,0.75,500,6,1
"163",163,1,500,6,1
"164",164,1.5,500,6,1
"165",165,2,500,6,1
"166",166,0.5,500,8,1
"167",167,0.75,500,8,1
"168",168,1,500,8,1
"169",169,1.5,500,8,1
"170",170,2,500,8,1
"171",171,0.5,500,12,1
"172",172,0.75,500,12,1
"173",173,1,500,12,1
"174",174,1.5,500,12,1
"175",175,2,500,12,1
"176",176,0.5,100,1,1
"177",177,0.75,100,1,1
"178",178,1,100,1,1
"179",179,1.5,100,1,1
"180",180,2,100,1,1
"181",181,0.5,100,2,1
"182",182,0.75,100,2,1
"183",183,1,100,2,1
"184",184,1.5,100,2,1
"185",185,2,100,2,1
"186",186,0.5,100,3,1
"187",187,0.75,100,3,1
"188",188,1,100,3,1
"189",189,1.5,100,3,1
"190",190,2,100,3,1
"191",191,0.5,100,4,1
"192",192,0.75,100,4,1
"193",193,1,100,4,1
"194",194,1.5,100,4,1
"195",195,2,100,4,1
"196",196,0.5,100,6,1
"197",197,0.75,100,6,1
"198",198,1,100,6,1
"199",199,1.5,100,6,1
"200",200,2,100,6,1
"201",201,0.5,100,8,1
"202",202,0.75,100,8,1
"203",203,1,100,8,1
"204",204,1.5,100,8,1
"205",205,2,100,8,1
"206",206,0.5,100,12,1
"207",207,0.75,100,12,1
