"","ID","n","ar_order","ma_order","ar_mag","ma_mag","signal"
"1",1,100,0,0,0,0,0
"2",2,100,0,0,0,0,0
"3",3,100,0,0,0,0,0
"4",4,100,0,0,0,0,0
"5",5,100,0,0,0,0,0
"6",6,100,0,0,0,0,0
"7",7,100,0,0,0,0,0
"8",8,100,0,0,0,0,0
"9",9,100,0,0,0,0,0
"10",10,100,0,0,0,0,0
"11",11,100,0,0,0,0,0
"12",12,100,0,0,0,0,0
"13",13,100,0,0,0,0,0
"14",14,100,0,0,0,0,0
"15",15,100,0,0,0,0,0
"16",16,100,0,0,0,0,0
"17",17,100,0,0,0,0,0
"18",18,100,0,0,0,0,0
"19",19,100,0,0,0,0,0
"20",20,100,0,0,0,0,0
"21",21,100,0,0,0,0,0
"22",22,100,0,0,0,0,0
"23",23,100,0,0,0,0,0
"24",24,100,0,0,0,0,0
"25",25,100,0,0,0,0,0
"26",26,100,0,0,0,0,0
"27",27,100,0,0,0,0,0
"28",28,100,0,0,0,0,0
"29",29,100,0,0,0,0,0
"30",30,100,0,0,0,0,0
"31",31,100,0,0,0,0,0
"32",32,100,0,0,0,0,0
"33",33,100,0,0,0,0,0
"34",34,100,0,0,0,0,0
"35",35,100,0,0,0,0,0
"36",36,100,0,0,0,0,0
"37",37,100,0,1,0,0.3,1
"38",38,100,0,1,0,0.9,1
"39",39,100,0,1,0,0.9,1
"40",40,100,0,1,0,0.3,1
"41",41,100,0,1,0,0.7,1
"42",42,100,0,1,0,0.8,1
"43",43,100,0,1,0,0.3,1
"44",44,100,0,1,0,0.9,1
"45",45,100,0,1,0,0.9,1
"46",46,100,0,1,0,0.6,1
"47",47,100,0,1,0,0.8,1
"48",48,100,0,1,0,0.7,1
"49",49,100,0,1,0,0.3,1
"50",50,100,0,1,0,0.9,1
"51",51,100,0,1,0,0.7,1
"52",52,100,0,1,0,0.7,1
"53",53,100,0,1,0,0.8,1
"54",54,100,0,1,0,0.7,1
"55",55,100,0,1,0,0.7,1
"56",56,100,0,1,0,0.9,1
"57",57,100,0,1,0,0.8,1
"58",58,100,0,1,0,0.7,1
"59",59,100,0,1,0,0.8,1
"60",60,100,0,1,0,0.6,1
"61",61,100,0,1,0,0.3,1
"62",62,100,0,1,0,0.6,1
"63",63,100,0,1,0,0.9,1
"64",64,100,0,1,0,0.5,1
"65",65,100,0,1,0,0.9,1
"66",66,100,0,1,0,0.6,1
"67",67,100,0,1,0,0.8,1
"68",68,100,0,1,0,0.9,1
"69",69,100,0,1,0,0.7,1
"70",70,100,0,1,0,0.9,1
"71",71,100,0,1,0,0.5,1
"72",72,100,0,1,0,0.9,1
"73",73,100,1,0,0.5,0.9,1
"74",74,100,1,0,0.7,0.9,1
"75",75,100,1,0,0.9,0.9,1
"76",76,100,1,0,0.6,0.9,1
"77",77,100,1,0,0.9,0.9,1
"78",78,100,1,0,0.7,0.9,1
"79",79,100,1,0,0.8,0.9,1
"80",80,100,1,0,0.9,0.9,1
"81",81,100,1,0,0.9,0.9,1
"82",82,100,1,0,0.3,0.9,1
"83",83,100,1,0,0.9,0.9,1
"84",84,100,1,0,0.9,0.9,1
"85",85,100,1,0,0.9,0.9,1
"86",86,100,1,0,0.3,0.9,1
"87",87,100,1,0,0.3,0.9,1
"88",88,100,1,0,0.9,0.9,1
"89",89,100,1,0,0.9,0.9,1
"90",90,100,1,0,0.8,0.9,1
"91",91,100,1,0,0.6,0.9,1
"92",92,100,1,0,0.7,0.9,1
"93",93,100,1,0,0.5,0.9,1
"94",94,100,1,0,0.7,0.9,1
"95",95,100,1,0,0.8,0.9,1
"96",96,100,1,0,0.8,0.9,1
"97",97,100,1,0,0.5,0.9,1
"98",98,100,1,0,0.9,0.9,1
"99",99,100,1,0,0.7,0.9,1
"100",100,100,1,0,0.8,0.9,1
"101",101,100,1,0,0.8,0.9,1
"102",102,100,1,0,0.9,0.9,1
"103",103,100,1,0,0.3,0.9,1
"104",104,100,1,0,0.7,0.9,1
"105",105,100,1,0,0.7,0.9,1
"106",106,100,1,0,0.3,0.9,1
"107",107,100,1,0,0.8,0.9,1
"108",108,100,1,0,0.6,0.9,1
"109",109,100,1,1,0.6,0.9,1
"110",110,100,1,1,0.9,0.3,1
"111",111,100,1,1,0.7,0.6,1
"112",112,100,1,1,0.6,0.6,1
"113",113,100,1,1,0.7,0.8,1
"114",114,100,1,1,0.7,0.3,1
"115",115,100,1,1,0.9,0.9,1
"116",116,100,1,1,0.3,0.3,1
"117",117,100,1,1,0.6,0.6,1
"118",118,100,1,1,0.8,0.9,1
"119",119,100,1,1,0.6,0.6,1
"120",120,100,1,1,0.9,0.7,1
"121",121,100,1,1,0.9,0.6,1
"122",122,100,1,1,0.7,0.7,1
"123",123,100,1,1,0.5,0.9,1
"124",124,100,1,1,0.6,0.8,1
"125",125,100,1,1,0.5,0.8,1
"126",126,100,1,1,0.3,0.9,1
"127",127,100,1,1,0.7,0.7,1
"128",128,100,1,1,0.3,0.3,1
"129",129,100,1,1,0.8,0.8,1
"130",130,100,1,1,0.6,0.5,1
"131",131,100,1,1,0.3,0.3,1
"132",132,100,1,1,0.8,0.3,1
"133",133,100,1,1,0.5,0.5,1
"134",134,100,1,1,0.3,0.6,1
"135",135,100,1,1,0.8,0.9,1
"136",136,100,1,1,0.3,0.9,1
"137",137,100,1,1,0.3,0.7,1
"138",138,100,1,1,0.7,0.5,1
"139",139,100,1,1,0.9,0.9,1
"140",140,100,1,1,0.8,0.3,1
"141",141,100,1,1,0.5,0.9,1
"142",142,100,1,1,0.5,0.9,1
"143",143,100,1,1,0.3,0.3,1
"144",144,100,1,1,0.6,0.3,1
"145",145,200,0,0,0,0,0
"146",146,200,0,0,0,0,0
"147",147,200,0,0,0,0,0
"148",148,200,0,0,0,0,0
"149",149,200,0,0,0,0,0
"150",150,200,0,0,0,0,0
"151",151,200,0,0,0,0,0
"152",152,200,0,0,0,0,0
"153",153,200,0,0,0,0,0
"154",154,200,0,0,0,0,0
"155",155,200,0,0,0,0,0
"156",156,200,0,0,0,0,0
"157",157,200,0,0,0,0,0
"158",158,200,0,0,0,0,0
"159",159,200,0,0,0,0,0
"160",160,200,0,0,0,0,0
"161",161,200,0,0,0,0,0
"162",162,200,0,0,0,0,0
"163",163,200,0,0,0,0,0
"164",164,200,0,0,0,0,0
"165",165,200,0,0,0,0,0
"166",166,200,0,0,0,0,0
"167",167,200,0,0,0,0,0
"168",168,200,0,0,0,0,0
