"","ID","R","N","sd","interest"
"1",1,0.4,100,0.3,1
"2",2,0.4,100,0.35,1
"3",3,0.4,100,0.4,1
"4",4,0.4,100,0.45,1
"5",5,0.4,100,0.5,1
"6",6,0.4,100,0.55,1
"7",7,0.4,100,0.6,1
"8",8,0.4,100,0.65,1
"9",9,0.4,100,0.7,1
"10",10,0.4,100,0.75,1
"11",11,0.4,100,0.8,1
"12",12,0.4,100,0.85,1
"13",13,0.4,100,0.9,1
"14",14,0.4,100,0.95,1
"15",15,0.4,100,1,1
"16",16,0.45,100,0.3,1
"17",17,0.45,100,0.35,1
"18",18,0.45,100,0.4,1
"19",19,0.45,100,0.45,1
"20",20,0.45,100,0.5,1
"21",21,0.45,100,0.55,1
"22",22,0.45,100,0.6,1
"23",23,0.45,100,0.65,1
"24",24,0.45,100,0.7,1
"25",25,0.45,100,0.75,1
"26",26,0.45,100,0.8,1
"27",27,0.45,100,0.85,1
"28",28,0.45,100,0.9,1
"29",29,0.45,100,0.95,1
"30",30,0.45,100,1,1
"31",31,0.5,100,0.3,1
"32",32,0.5,100,0.35,1
"33",33,0.5,100,0.4,1
"34",34,0.5,100,0.45,1
"35",35,0.5,100,0.5,1
"36",36,0.5,100,0.55,1
"37",37,0.5,100,0.6,1
"38",38,0.5,100,0.65,1
"39",39,0.5,100,0.7,1
"40",40,0.5,100,0.75,1
"41",41,0.5,100,0.8,1
"42",42,0.5,100,0.85,1
"43",43,0.5,100,0.9,1
"44",44,0.5,100,0.95,1
"45",45,0.5,100,1,1
"46",46,0.55,100,0.3,1
"47",47,0.55,100,0.35,1
"48",48,0.55,100,0.4,1
"49",49,0.55,100,0.45,1
"50",50,0.55,100,0.5,1
"51",51,0.55,100,0.55,1
"52",52,0.55,100,0.6,1
"53",53,0.55,100,0.65,1
"54",54,0.55,100,0.7,1
"55",55,0.55,100,0.75,1
"56",56,0.55,100,0.8,1
"57",57,0.55,100,0.85,1
"58",58,0.55,100,0.9,1
"59",59,0.55,100,0.95,1
"60",60,0.55,100,1,1
"61",61,0.6,100,0.3,1
"62",62,0.6,100,0.35,1
"63",63,0.6,100,0.4,1
"64",64,0.6,100,0.45,1
"65",65,0.6,100,0.5,1
"66",66,0.6,100,0.55,1
