"","X1","ID","R","N","sd1","sd2","signal"
"1",1,1,-0.7854777415302,100,1,1,1
"2",2,2,-0.7854777415302,100,1,2,1
"3",3,3,-0.7854777415302,100,1,3,1
"4",4,4,-0.7854777415302,100,1,4,1
"5",5,5,-0.7854777415302,100,1,5,1
"6",6,6,-0.7854777415302,100,2,1,1
"7",7,7,-0.7854777415302,100,2,2,1
"8",8,8,-0.7854777415302,100,2,3,1
"9",9,9,-0.7854777415302,100,2,4,1
"10",10,10,-0.7854777415302,100,2,5,1
"11",11,11,-0.7854777415302,100,3,1,1
"12",12,12,-0.7854777415302,100,3,2,1
"13",13,13,-0.7854777415302,100,3,3,1
"14",14,14,-0.7854777415302,100,3,4,1
"15",15,15,-0.7854777415302,100,3,5,1
"16",16,16,-0.7854777415302,100,4,1,1
"17",17,17,-0.7854777415302,100,4,2,1
"18",18,18,-0.7854777415302,100,4,3,1
"19",19,19,-0.7854777415302,100,4,4,1
"20",20,20,-0.7854777415302,100,4,5,1
"21",21,21,-0.7854777415302,100,5,1,1
"22",22,22,-0.7854777415302,100,5,2,1
"23",23,23,-0.7854777415302,100,5,3,1
"24",24,24,-0.7854777415302,100,5,4,1
"25",25,25,-0.7854777415302,100,5,5,1
"26",26,26,-0.948369274155304,100,1,1,1
"27",27,27,-0.948369274155304,100,1,2,1
"28",28,28,-0.948369274155304,100,1,3,1
"29",29,29,-0.948369274155304,100,1,4,1
"30",30,30,-0.948369274155304,100,1,5,1
"31",31,31,-0.948369274155304,100,2,1,1
"32",32,32,-0.948369274155304,100,2,2,1
"33",33,33,-0.948369274155304,100,2,3,1
"34",34,34,-0.948369274155304,100,2,4,1
"35",35,35,-0.948369274155304,100,2,5,1
"36",36,36,-0.948369274155304,100,3,1,1
"37",37,37,-0.948369274155304,100,3,2,1
"38",38,38,-0.948369274155304,100,3,3,1
"39",39,39,-0.948369274155304,100,3,4,1
"40",40,40,-0.948369274155304,100,3,5,1
"41",41,41,-0.948369274155304,100,4,1,1
"42",42,42,-0.948369274155304,100,4,2,1
"43",43,43,-0.948369274155304,100,4,3,1
"44",44,44,-0.948369274155304,100,4,4,1
"45",45,45,-0.948369274155304,100,4,5,1
"46",46,46,-0.948369274155304,100,5,1,1
"47",47,47,-0.948369274155304,100,5,2,1
"48",48,48,-0.948369274155304,100,5,3,1
"49",49,49,-0.948369274155304,100,5,4,1
"50",50,50,-0.948369274155304,100,5,5,1
"51",51,51,-0.498879210813431,100,1,1,1
"52",52,52,-0.498879210813431,100,1,2,1
"53",53,53,-0.498879210813431,100,1,3,1
"54",54,54,-0.498879210813431,100,1,4,1
"55",55,55,-0.498879210813431,100,1,5,1
"56",56,56,-0.498879210813431,100,2,1,1
"57",57,57,-0.498879210813431,100,2,2,1
"58",58,58,-0.498879210813431,100,2,3,1
"59",59,59,-0.498879210813431,100,2,4,1
"60",60,60,-0.498879210813431,100,2,5,1
"61",61,61,-0.498879210813431,100,3,1,1
"62",62,62,-0.498879210813431,100,3,2,1
"63",63,63,-0.498879210813431,100,3,3,1
"64",64,64,-0.498879210813431,100,3,4,1
"65",65,65,-0.498879210813431,100,3,5,1
"66",66,66,-0.498879210813431,100,4,1,1
"67",67,67,-0.498879210813431,100,4,2,1
"68",68,68,-0.498879210813431,100,4,3,1
"69",69,69,-0.498879210813431,100,4,4,1
"70",70,70,-0.498879210813431,100,4,5,1
"71",71,71,-0.498879210813431,100,5,1,1
"72",72,72,-0.498879210813431,100,5,2,1
"73",73,73,-0.498879210813431,100,5,3,1
"74",74,74,-0.498879210813431,100,5,4,1
"75",75,75,-0.498879210813431,100,5,5,1
"76",76,76,-0.72386212257108,100,1,1,1
"77",77,77,-0.72386212257108,100,1,2,1
"78",78,78,-0.72386212257108,100,1,3,1
"79",79,79,-0.72386212257108,100,1,4,1
"80",80,80,-0.72386212257108,100,1,5,1
"81",81,81,-0.72386212257108,100,2,1,1
"82",82,82,-0.72386212257108,100,2,2,1
"83",83,83,-0.72386212257108,100,2,3,1
"84",84,84,-0.72386212257108,100,2,4,1
"85",85,85,-0.72386212257108,100,2,5,1
"86",86,86,-0.72386212257108,100,3,1,1
"87",87,87,-0.72386212257108,100,3,2,1
"88",88,88,-0.72386212257108,100,3,3,1
"89",89,89,-0.72386212257108,100,3,4,1
"90",90,90,-0.72386212257108,100,3,5,1
"91",91,91,-0.72386212257108,100,4,1,1
"92",92,92,-0.72386212257108,100,4,2,1
"93",93,93,-0.72386212257108,100,4,3,1
"94",94,94,-0.72386212257108,100,4,4,1
"95",95,95,-0.72386212257108,100,4,5,1
