"","ID","N","AR","interest"
"1",1,100,-0.9,1
"2",2,100,0,0
"3",3,150,-0.9,1
"4",4,150,0,0
"5",5,200,-0.9,1
"6",6,200,0,0
"7",7,300,-0.9,1
"8",8,300,0,0
"9",9,400,-0.9,1
"10",10,400,0,0
"11",11,500,-0.9,1
"12",12,500,0,0
"13",13,100,-0.75,1
"14",14,100,0,0
"15",15,150,-0.75,1
"16",16,150,0,0
"17",17,200,-0.75,1
"18",18,200,0,0
"19",19,300,-0.75,1
"20",20,300,0,0
"21",21,400,-0.75,1
"22",22,400,0,0
"23",23,500,-0.75,1
"24",24,500,0,0
"25",25,100,-0.5,1
"26",26,100,0,0
"27",27,150,-0.5,1
"28",28,150,0,0
"29",29,200,-0.5,1
"30",30,200,0,0
"31",31,300,-0.5,1
"32",32,300,0,0
"33",33,400,-0.5,1
"34",34,400,0,0
"35",35,500,-0.5,1
"36",36,500,0,0
"37",37,100,0.5,1
"38",38,100,0,0
"39",39,150,0.5,1
"40",40,150,0,0
"41",41,200,0.5,1
"42",42,200,0,0
"43",43,300,0.5,1
"44",44,300,0,0
"45",45,400,0.5,1
"46",46,400,0,0
"47",47,500,0.5,1
"48",48,500,0,0
"49",49,100,0.75,1
"50",50,100,0,0
"51",51,150,0.75,1
"52",52,150,0,0
"53",53,200,0.75,1
"54",54,200,0,0
"55",55,300,0.75,1
"56",56,300,0,0
"57",57,400,0.75,1
"58",58,400,0,0
"59",59,500,0.75,1
"60",60,500,0,0
"61",61,100,0.9,1
"62",62,100,0,0
"63",63,150,0.9,1
"64",64,150,0,0
"65",65,200,0.9,1
"66",66,200,0,0
"67",67,300,0.9,1
"68",68,300,0,0
"69",69,400,0.9,1
"70",70,400,0,0
"71",71,500,0.9,1
"72",72,500,0,0
"73",73,100,-0.9,1
"74",74,100,0,0
"75",75,150,-0.9,1
"76",76,150,0,0
"77",77,200,-0.9,1
"78",78,200,0,0
"79",79,300,-0.9,1
"80",80,300,0,0
"81",81,400,-0.9,1
"82",82,400,0,0
"83",83,500,-0.9,1
"84",84,500,0,0
"85",85,100,-0.75,1
"86",86,100,0,0
"87",87,150,-0.75,1
"88",88,150,0,0
"89",89,200,-0.75,1
"90",90,200,0,0
"91",91,300,-0.75,1
"92",92,300,0,0
