"","index",".n","ID","n","df","signal","seed"
"1",1,1,1,20,2,0,91052
"2",1,2,2,20,2,0,12772
"3",1,3,3,20,2,0,48460
"4",1,4,4,20,2,0,86400
"5",1,5,5,20,2,0,1086
"6",1,6,6,20,2,0,57034
"7",1,7,7,20,2,0,46224
"8",1,8,8,20,2,0,59412
"9",1,9,9,20,2,0,71418
"10",1,10,10,20,2,0,37143
"11",1,11,11,20,2,0,1446
"12",1,12,12,20,2,0,9675
"13",1,13,13,20,2,0,22023
"14",1,14,14,20,2,1,49983
"15",1,15,15,20,2,0,59451
"16",1,16,16,20,2,0,50146
"17",1,17,17,20,2,0,17462
"18",1,18,18,20,2,0,11056
"19",1,19,19,20,2,0,8942
"20",1,20,20,20,2,0,-986934925
"21",2,1,21,30,10,0,3503
"22",2,2,22,30,10,0,19878
"23",2,3,23,30,10,0,48939
"24",2,4,24,30,10,0,938
"25",2,5,25,30,10,0,41125
"26",2,6,26,30,10,0,68399
"27",2,7,27,30,10,0,3943
"28",2,8,28,30,10,0,10467
"29",2,9,29,30,10,0,71255
"30",2,10,30,30,10,0,81827
"31",2,11,31,30,10,0,90008
"32",2,12,32,30,10,0,99509
"33",2,13,33,30,10,0,73757
"34",2,14,34,30,10,1,46409
"35",2,15,35,30,10,0,85569
"36",2,16,36,30,10,0,35140
"37",2,17,37,30,10,0,15191
"38",2,18,38,30,10,0,47087
"39",2,19,39,30,10,0,52636
"40",2,20,40,30,10,0,230618195
"41",3,1,41,50,10,0,81370
"42",3,2,42,50,10,0,70909
"43",3,3,43,50,10,0,75286
"44",3,4,44,50,10,0,13580
"45",3,5,45,50,10,0,90913
"46",3,6,46,50,10,0,83144
"47",3,7,47,50,10,0,4146
"48",3,8,48,50,10,0,82998
"49",3,9,49,50,10,1,81942
"50",3,10,50,50,10,0,21482
"51",3,11,51,50,10,0,92172
"52",3,12,52,50,10,0,60867
"53",3,13,53,50,10,0,502
"54",3,14,54,50,10,0,40841
"55",3,15,55,50,10,0,92330
"56",3,16,56,50,10,0,8448
"57",3,17,57,50,10,0,62684
"58",3,18,58,50,10,0,77101
"59",3,19,59,50,10,0,80779
"60",3,20,60,50,10,0,-167313504
"61",4,1,61,75,10,0,34237
"62",4,2,62,75,10,0,21263
"63",4,3,63,75,10,0,33888
"64",4,4,64,75,10,0,77834
"65",4,5,65,75,10,0,91196
"66",4,6,66,75,10,0,39174
"67",4,7,67,75,10,0,93851
"68",4,8,68,75,10,0,49
"69",4,9,69,75,10,0,2205
"70",4,10,70,75,10,0,82045
"71",4,11,71,75,10,0,27057
"72",4,12,72,75,10,1,86945
"73",4,13,73,75,10,0,17596
"74",4,14,74,75,10,0,97597
"75",4,15,75,75,10,0,26213
"76",4,16,76,75,10,0,56597
"77",4,17,77,75,10,0,57446
"78",4,18,78,75,10,0,46230
"79",4,19,79,75,10,0,22952
"80",4,20,80,75,10,0,947228092
"81",5,1,81,30,2,0,82950
"82",5,2,82,30,2,0,34594
"83",5,3,83,30,2,0,9146
"84",5,4,84,30,2,0,88001
"85",5,5,85,30,2,0,75428
"86",5,6,86,30,2,0,99955
"87",5,7,87,30,2,0,14974
"88",5,8,88,30,2,0,69463
"89",5,9,89,30,2,1,17757
"90",5,10,90,30,2,0,40438
"91",5,11,91,30,2,0,2440
"92",5,12,92,30,2,0,66746
"93",5,13,93,30,2,0,72802
"94",5,14,94,30,2,0,40626
"95",5,15,95,30,2,0,64089
"96",5,16,96,30,2,0,58921
"97",5,17,97,30,2,0,32651
"98",5,18,98,30,2,0,80999
"99",5,19,99,30,2,0,58188
"100",5,20,100,30,2,0,497546521
"101",6,1,101,50,2,0,79100
"102",6,2,102,50,2,0,49315
"103",6,3,103,50,2,0,8927
"104",6,4,104,50,2,0,29205
"105",6,5,105,50,2,0,15576
"106",6,6,106,50,2,0,60802
"107",6,7,107,50,2,0,63498
"108",6,8,108,50,2,1,75311
"109",6,9,109,50,2,0,61177
"110",6,10,110,50,2,0,88495
"111",6,11,111,50,2,0,32576
"112",6,12,112,50,2,0,81511
"113",6,13,113,50,2,0,9550
"114",6,14,114,50,2,0,83326
"115",6,15,115,50,2,0,66818
"116",6,16,116,50,2,0,98636
"117",6,17,117,50,2,0,69722
"118",6,18,118,50,2,0,55460
"119",6,19,119,50,2,0,44330
"120",6,20,120,50,2,0,-157328029
"121",7,1,121,75,2,0,76554
"122",7,2,122,75,2,0,94347
"123",7,3,123,75,2,0,98284
"124",7,4,124,75,2,0,87790
"125",7,5,125,75,2,0,81656
"126",7,6,126,75,2,0,36820
"127",7,7,127,75,2,0,64274
"128",7,8,128,75,2,0,31420
"129",7,9,129,75,2,0,28076
"130",7,10,130,75,2,0,69558
"131",7,11,131,75,2,0,80935
"132",7,12,132,75,2,0,88193
