"","set","in.lineup.ID","n","target","signal","ID"
"1",1,1,45,3,0,1
"2",1,2,45,3,0,2
"3",1,3,45,3,1,3
"4",1,4,45,3,0,4
"5",1,5,45,3,0,5
"6",1,6,45,3,0,6
"7",1,7,45,3,0,7
"8",1,8,45,3,0,8
"9",1,9,45,3,0,9
"10",1,10,45,3,0,10
"11",1,11,45,3,0,11
"12",1,12,45,3,0,12
"13",1,13,45,3,0,13
"14",1,14,45,3,0,14
"15",1,15,45,3,0,15
"16",1,16,45,3,0,16
"17",1,17,45,3,0,17
"18",1,18,45,3,0,18
"19",1,19,45,3,0,19
"20",1,20,45,3,0,20
"21",2,1,45,14,0,21
"22",2,2,45,14,0,22
"23",2,3,45,14,0,23
"24",2,4,45,14,0,24
"25",2,5,45,14,0,25
"26",2,6,45,14,0,26
"27",2,7,45,14,0,27
"28",2,8,45,14,0,28
"29",2,9,45,14,0,29
"30",2,10,45,14,0,30
"31",2,11,45,14,0,31
"32",2,12,45,14,0,32
"33",2,13,45,14,0,33
"34",2,14,45,14,1,34
"35",2,15,45,14,0,35
"36",2,16,45,14,0,36
"37",2,17,45,14,0,37
"38",2,18,45,14,0,38
"39",2,19,45,14,0,39
"40",2,20,45,14,0,40
"41",3,1,45,2,0,41
"42",3,2,45,2,1,42
"43",3,3,45,2,0,43
"44",3,4,45,2,0,44
"45",3,5,45,2,0,45
"46",3,6,45,2,0,46
"47",3,7,45,2,0,47
"48",3,8,45,2,0,48
"49",3,9,45,2,0,49
"50",3,10,45,2,0,50
"51",3,11,45,2,0,51
"52",3,12,45,2,0,52
"53",3,13,45,2,0,53
"54",3,14,45,2,0,54
"55",3,15,45,2,0,55
"56",3,16,45,2,0,56
"57",3,17,45,2,0,57
"58",3,18,45,2,0,58
"59",3,19,45,2,0,59
"60",3,20,45,2,0,60
"61",4,1,45,11,0,61
"62",4,2,45,11,0,62
"63",4,3,45,11,0,63
"64",4,4,45,11,0,64
"65",4,5,45,11,0,65
"66",4,6,45,11,0,66
"67",4,7,45,11,0,67
"68",4,8,45,11,0,68
"69",4,9,45,11,0,69
"70",4,10,45,11,0,70
"71",4,11,45,11,1,71
"72",4,12,45,11,0,72
"73",4,13,45,11,0,73
"74",4,14,45,11,0,74
"75",4,15,45,11,0,75
"76",4,16,45,11,0,76
"77",4,17,45,11,0,77
"78",4,18,45,11,0,78
"79",4,19,45,11,0,79
"80",4,20,45,11,0,80
"81",5,1,45,15,0,81
"82",5,2,45,15,0,82
"83",5,3,45,15,0,83
"84",5,4,45,15,0,84
"85",5,5,45,15,0,85
"86",5,6,45,15,0,86
"87",5,7,45,15,0,87
"88",5,8,45,15,0,88
"89",5,9,45,15,0,89
"90",5,10,45,15,0,90
"91",5,11,45,15,0,91
"92",5,12,45,15,0,92
"93",5,13,45,15,0,93
"94",5,14,45,15,0,94
"95",5,15,45,15,1,95
"96",5,16,45,15,0,96
"97",5,17,45,15,0,97
"98",5,18,45,15,0,98
"99",5,19,45,15,0,99
"100",5,20,45,15,0,100
"101",6,1,45,4,0,101
"102",6,2,45,4,0,102
"103",6,3,45,4,0,103
"104",6,4,45,4,1,104
"105",6,5,45,4,0,105
"106",6,6,45,4,0,106
"107",6,7,45,4,0,107
"108",6,8,45,4,0,108
"109",6,9,45,4,0,109
"110",6,10,45,4,0,110
"111",6,11,45,4,0,111
"112",6,12,45,4,0,112
"113",6,13,45,4,0,113
"114",6,14,45,4,0,114
"115",6,15,45,4,0,115
"116",6,16,45,4,0,116
"117",6,17,45,4,0,117
"118",6,18,45,4,0,118
"119",6,19,45,4,0,119
"120",6,20,45,4,0,120
"121",7,1,45,1,1,121
"122",7,2,45,1,0,122
"123",7,3,45,1,0,123
"124",7,4,45,1,0,124
"125",7,5,45,1,0,125
"126",7,6,45,1,0,126
"127",7,7,45,1,0,127
"128",7,8,45,1,0,128
"129",7,9,45,1,0,129
"130",7,10,45,1,0,130
"131",7,11,45,1,0,131
"132",7,12,45,1,0,132
"133",7,13,45,1,0,133
"134",7,14,45,1,0,134
"135",7,15,45,1,0,135
"136",7,16,45,1,0,136
"137",7,17,45,1,0,137
"138",7,18,45,1,0,138
"139",7,19,45,1,0,139
"140",7,20,45,1,0,140
"141",8,1,45,9,0,141
"142",8,2,45,9,0,142
"143",8,3,45,9,0,143
"144",8,4,45,9,0,144
"145",8,5,45,9,0,145
"146",8,6,45,9,0,146
"147",8,7,45,9,0,147
"148",8,8,45,9,0,148
"149",8,9,45,9,1,149
"150",8,10,45,9,0,150
"151",8,11,45,9,0,151
"152",8,12,45,9,0,152
"153",8,13,45,9,0,153
"154",8,14,45,9,0,154
"155",8,15,45,9,0,155
"156",8,16,45,9,0,156
"157",8,17,45,9,0,157
"158",8,18,45,9,0,158
"159",8,19,45,9,0,159
"160",8,20,45,9,0,160
"161",9,1,45,19,0,161
"162",9,2,45,19,0,162
"163",9,3,45,19,0,163
"164",9,4,45,19,0,164
"165",9,5,45,19,0,165
"166",9,6,45,19,0,166
"167",9,7,45,19,0,167
"168",9,8,45,19,0,168
"169",9,9,45,19,0,169
"170",9,10,45,19,0,170
"171",9,11,45,19,0,171
"172",9,12,45,19,0,172
"173",9,13,45,19,0,173
"174",9,14,45,19,0,174
"175",9,15,45,19,0,175
"176",9,16,45,19,0,176
"177",9,17,45,19,0,177
