"","set","in.lineup.ID","n","target1","target2","ID","signal"
"1",1,1,45,3,15,1,0
"2",1,2,45,3,15,2,0
"3",1,3,45,3,15,3,1
"4",1,4,45,3,15,4,0
"5",1,5,45,3,15,5,0
"6",1,6,45,3,15,6,0
"7",1,7,45,3,15,7,0
"8",1,8,45,3,15,8,0
"9",1,9,45,3,15,9,0
"10",1,10,45,3,15,10,0
"11",1,11,45,3,15,11,0
"12",1,12,45,3,15,12,0
"13",1,13,45,3,15,13,0
"14",1,14,45,3,15,14,0
"15",1,15,45,3,15,15,1
"16",1,16,45,3,15,16,0
"17",1,17,45,3,15,17,0
"18",1,18,45,3,15,18,0
"19",1,19,45,3,15,19,0
"20",1,20,45,3,15,20,0
"21",2,1,45,17,3,21,0
"22",2,2,45,17,3,22,0
"23",2,3,45,17,3,23,1
"24",2,4,45,17,3,24,0
"25",2,5,45,17,3,25,0
"26",2,6,45,17,3,26,0
"27",2,7,45,17,3,27,0
"28",2,8,45,17,3,28,0
"29",2,9,45,17,3,29,0
"30",2,10,45,17,3,30,0
"31",2,11,45,17,3,31,0
"32",2,12,45,17,3,32,0
"33",2,13,45,17,3,33,0
"34",2,14,45,17,3,34,0
"35",2,15,45,17,3,35,0
"36",2,16,45,17,3,36,0
"37",2,17,45,17,3,37,1
"38",2,18,45,17,3,38,0
"39",2,19,45,17,3,39,0
"40",2,20,45,17,3,40,0
"41",3,1,45,12,3,41,0
"42",3,2,45,12,3,42,0
"43",3,3,45,12,3,43,1
"44",3,4,45,12,3,44,0
"45",3,5,45,12,3,45,0
"46",3,6,45,12,3,46,0
"47",3,7,45,12,3,47,0
"48",3,8,45,12,3,48,0
"49",3,9,45,12,3,49,0
"50",3,10,45,12,3,50,0
"51",3,11,45,12,3,51,0
"52",3,12,45,12,3,52,1
"53",3,13,45,12,3,53,0
"54",3,14,45,12,3,54,0
"55",3,15,45,12,3,55,0
"56",3,16,45,12,3,56,0
"57",3,17,45,12,3,57,0
"58",3,18,45,12,3,58,0
"59",3,19,45,12,3,59,0
"60",3,20,45,12,3,60,0
"61",4,1,45,6,2,61,0
"62",4,2,45,6,2,62,1
"63",4,3,45,6,2,63,0
"64",4,4,45,6,2,64,0
"65",4,5,45,6,2,65,0
"66",4,6,45,6,2,66,1
"67",4,7,45,6,2,67,0
"68",4,8,45,6,2,68,0
"69",4,9,45,6,2,69,0
"70",4,10,45,6,2,70,0
"71",4,11,45,6,2,71,0
"72",4,12,45,6,2,72,0
"73",4,13,45,6,2,73,0
"74",4,14,45,6,2,74,0
"75",4,15,45,6,2,75,0
"76",4,16,45,6,2,76,0
"77",4,17,45,6,2,77,0
"78",4,18,45,6,2,78,0
"79",4,19,45,6,2,79,0
"80",4,20,45,6,2,80,0
"81",5,1,45,10,15,81,0
"82",5,2,45,10,15,82,0
"83",5,3,45,10,15,83,0
"84",5,4,45,10,15,84,0
"85",5,5,45,10,15,85,0
"86",5,6,45,10,15,86,0
"87",5,7,45,10,15,87,0
"88",5,8,45,10,15,88,0
"89",5,9,45,10,15,89,0
"90",5,10,45,10,15,90,1
"91",5,11,45,10,15,91,0
"92",5,12,45,10,15,92,0
"93",5,13,45,10,15,93,0
"94",5,14,45,10,15,94,0
"95",5,15,45,10,15,95,1
"96",5,16,45,10,15,96,0
"97",5,17,45,10,15,97,0
"98",5,18,45,10,15,98,0
"99",5,19,45,10,15,99,0
"100",5,20,45,10,15,100,0
"101",6,1,45,17,14,101,0
"102",6,2,45,17,14,102,0
"103",6,3,45,17,14,103,0
"104",6,4,45,17,14,104,0
"105",6,5,45,17,14,105,0
"106",6,6,45,17,14,106,0
"107",6,7,45,17,14,107,0
"108",6,8,45,17,14,108,0
"109",6,9,45,17,14,109,0
"110",6,10,45,17,14,110,0
"111",6,11,45,17,14,111,0
"112",6,12,45,17,14,112,0
"113",6,13,45,17,14,113,0
"114",6,14,45,17,14,114,1
"115",6,15,45,17,14,115,0
"116",6,16,45,17,14,116,0
"117",6,17,45,17,14,117,1
"118",6,18,45,17,14,118,0
"119",6,19,45,17,14,119,0
"120",6,20,45,17,14,120,0
"121",7,1,45,5,15,121,0
"122",7,2,45,5,15,122,0
"123",7,3,45,5,15,123,0
"124",7,4,45,5,15,124,0
"125",7,5,45,5,15,125,1
"126",7,6,45,5,15,126,0
"127",7,7,45,5,15,127,0
"128",7,8,45,5,15,128,0
"129",7,9,45,5,15,129,0
"130",7,10,45,5,15,130,0
"131",7,11,45,5,15,131,0
"132",7,12,45,5,15,132,0
"133",7,13,45,5,15,133,0
"134",7,14,45,5,15,134,0
"135",7,15,45,5,15,135,1
"136",7,16,45,5,15,136,0
"137",7,17,45,5,15,137,0
"138",7,18,45,5,15,138,0
"139",7,19,45,5,15,139,0
"140",7,20,45,5,15,140,0
"141",8,1,45,5,4,141,0
"142",8,2,45,5,4,142,0
